,Building,Class,Actual_Enrl,Latitude,Longitude,Days,Day_start_M,Day_end_M,Day_start_T,Day_end_T,Day_start_W,Day_end_W,Day_start_R,Day_end_R,Day_start_F,Day_end_F,Day_start_S,Day_end_S,Day_start_U,Day_end_U
526,CH,UNST 147C,12,680507.418369,7642314.424760001,TR,na,na,2016-09-27 16:00:00,2016-09-27 16:50:00,na,na,2016-09-29 16:00:00,2016-09-29 16:50:00,na,na,na,na,na,na
527,CH,INTL 226D,0,680507.418369,7642314.424760001,W,na,na,na,na,2016-09-28 08:30:00,2016-09-28 09:20:00,na,na,na,na,na,na,na,na
528,CH,UNST 233G,10,680507.418369,7642314.424760001,W,na,na,na,na,2016-09-28 08:30:00,2016-09-28 09:20:00,na,na,na,na,na,na,na,na
546,CH,PSY 451,70,680507.418369,7642314.424760001,MWF,2016-09-26 09:00:00,2016-09-26 10:05:00,na,na,2016-09-28 09:00:00,2016-09-28 10:05:00,na,na,2016-09-30 09:00:00,2016-09-30 10:05:00,na,na,na,na
547,CH,PSY 348,34,680507.418369,7642314.424760001,MWF,2016-09-26 10:15:00,2016-09-26 11:20:00,na,na,2016-09-28 10:15:00,2016-09-28 11:20:00,na,na,2016-09-30 10:15:00,2016-09-30 11:20:00,na,na,na,na
548,CH,SOC 344U,18,680507.418369,7642314.424760001,MWF,2016-09-26 11:30:00,2016-09-26 12:35:00,na,na,2016-09-28 11:30:00,2016-09-28 12:35:00,na,na,2016-09-30 11:30:00,2016-09-30 12:35:00,na,na,na,na
549,CH,SOC 200,98,680507.418369,7642314.424760001,MWF,2016-09-26 12:45:00,2016-09-26 13:50:00,na,na,2016-09-28 12:45:00,2016-09-28 13:50:00,na,na,2016-09-30 12:45:00,2016-09-30 13:50:00,na,na,na,na
550,CH,PSY 200,99,680507.418369,7642314.424760001,MW,2016-09-26 14:00:00,2016-09-26 15:50:00,na,na,2016-09-28 14:00:00,2016-09-28 15:50:00,na,na,na,na,na,na,na,na
551,CH,ACTG 493,20,680507.418369,7642314.424760001,M,2016-09-26 17:40:00,2016-09-26 21:20:00,na,na,na,na,na,na,na,na,na,na,na,na
552,CH,ACTG 593S,15,680507.418369,7642314.424760001,M,2016-09-26 17:40:00,2016-09-26 21:20:00,na,na,na,na,na,na,na,na,na,na,na,na
553,CH,SOC 344U,59,680507.418369,7642314.424760001,TR,na,na,2016-09-27 10:00:00,2016-09-27 11:50:00,na,na,2016-09-29 10:00:00,2016-09-29 11:50:00,na,na,na,na,na,na
554,CH,PSY 317,60,680507.418369,7642314.424760001,T,na,na,2016-09-27 17:30:00,2016-09-27 21:10:00,na,na,na,na,na,na,na,na,na,na
555,CH,CS 410,6,680507.418369,7642314.424760001,W,na,na,na,na,2016-09-28 17:30:00,2016-09-28 21:10:00,na,na,na,na,na,na,na,na
