,Building,Class,Actual_Enrl,Day_M
1130,CH,PHL 551,1,2016-09-26 10:15:00
1131,CH,LING 407,7,2016-09-26 11:30:00
1132,CH,ANTH 412,9,2016-09-26 12:45:00
1133,CH,ANTH 412H,0,2016-09-26 12:45:00
1134,CH,ANTH 512,3,2016-09-26 12:45:00
1135,CH,HON 101,31,2016-09-26 14:00:00
1136,CH,PA 590,14,2016-09-26 16:00:00
1154,CH,LING 453,0,2016-09-26 10:15:00
1155,CH,LING 453,5,2016-09-26 11:30:00
1156,CH,LING 410,0,2016-09-26 14:00:00
1157,CH,LING 510,10,2016-09-26 14:00:00
1158,CH,PAP 630,3,2016-09-26 17:30:00
1159,CH,PS 530,10,2016-09-26 17:30:00
1167,CH,PSY 311U,95,2016-09-26 08:15:00
1168,CH,CH 440,57,2016-09-26 12:45:00
1169,CH,CH 540,1,2016-09-26 12:45:00
1170,CH,PSY 410,35,2016-09-26 14:00:00
1171,CH,ECE 341,59,2016-09-26 16:40:00
1184,CH,PSY 310U,31,2016-09-26 09:00:00
1185,CH,WS 310U,14,2016-09-26 09:00:00
1186,CH,ESM 220,58,2016-09-26 10:15:00
1187,CH,BI 330,51,2016-09-26 11:30:00
1188,CH,PSY 410,33,2016-09-26 12:45:00
1189,CH,WS 307,24,2016-09-26 14:00:00
1206,CH,ME 427,9,2016-09-26 08:15:00
1207,CH,ME 527,15,2016-09-26 08:15:00
1208,CH,FILM 370U,24,2016-09-26 11:30:00
1209,CH,PHL 355U,19,2016-09-26 12:45:00
1210,CH,PS 204,50,2016-09-26 14:00:00
1222,CH,LING 154,13,2016-09-26 10:15:00
1223,CH,LING 153,14,2016-09-26 11:30:00
1224,CH,LING 153,12,2016-09-26 12:45:00
1225,CH,GRK 332U,12,2016-09-26 14:00:00
1226,CH,AD HOC,0,2016-09-26 16:00:00
1236,CH,PHE 275,60,2016-09-26 09:00:00
1237,CH,BI 412,30,2016-09-26 10:15:00
1238,CH,BI 512,3,2016-09-26 10:15:00
1239,CH,COMM 316,70,2016-09-26 11:30:00
1240,CH,GEOG 333U,23,2016-09-26 12:45:00
1241,CH,PH 333U,14,2016-09-26 12:45:00
1242,CH,COMM 311,61,2016-09-26 14:00:00
1243,CH,CS 350,56,2016-09-26 16:40:00
1244,CH,COUN 441,14,2016-09-26 18:40:00
1245,CH,COUN 541,19,2016-09-26 18:40:00
1256,CH,GEOG 312U,22,2016-09-26 10:15:00
1257,CH,SCI 334U,28,2016-09-26 10:15:00
1258,CH,GEOG 322U,30,2016-09-26 11:30:00
1267,CH,GEOG 414,12,2016-09-26 10:10:00
1268,CH,GEOG 514,13,2016-09-26 10:10:00
1269,CH,GEOG 446,15,2016-09-26 14:00:00
1270,CH,GEOG 546,8,2016-09-26 14:00:00
1277,CH,HST 492,10,2016-09-26 17:30:00
1278,CH,HST 592,1,2016-09-26 17:30:00
1286,CH,BA 303,40,2016-09-26 09:00:00
1287,CH,UNST 144C,36,2016-09-26 10:15:00
1288,CH,EC 438,13,2016-09-26 12:00:00
1289,CH,EC 538,9,2016-09-26 12:00:00
1290,CH,BA 495,35,2016-09-26 14:00:00
1302,CH,MUS 320,19,2016-09-26 12:30:00
1303,CH,MUS 197,8,2016-09-26 14:00:00
1304,CH,MUS 397,17,2016-09-26 14:00:00
1305,CH,MUS 597,5,2016-09-26 14:00:00
1311,CH,GEOG 210L,19,2016-09-26 10:00:00
1317,CH,GEOG 496,21,2016-09-26 12:00:00
1318,CH,GEOG 596,1,2016-09-26 12:00:00
1319,CH,GEOG 380L,17,2016-09-26 14:00:00
1320,CH,GEOG 480,13,2016-09-26 17:00:00
1321,CH,GEOG 580,7,2016-09-26 17:00:00
1345,CH,LING 153,12,2016-09-26 11:30:00
1346,CH,WR 507,13,2016-09-26 14:00:00
1347,CH,WR 399,15,2016-09-26 17:30:00
1359,CH,HST 495,12,2016-09-26 08:15:00
1360,CH,HST 595,1,2016-09-26 08:15:00
1361,CH,HST 430,15,2016-09-26 10:15:00
1362,CH,HST 530,2,2016-09-26 10:15:00
1363,CH,HST 327U,24,2016-09-26 12:45:00
1364,CH,HST 500,9,2016-09-26 17:30:00
1376,CH,G 201,88,2016-09-26 09:00:00
1377,CH,WR 474,0,2016-09-26 12:00:00
1378,CH,WR 475,1,2016-09-26 12:00:00
1379,CH,WR 574,8,2016-09-26 12:00:00
1380,CH,WR 575,39,2016-09-26 12:00:00
1381,CH,AD HOC,0,2016-09-26 14:30:00
1398,CH,EAS 211,101,2016-09-26 08:15:00
1399,CH,SOC 339U,80,2016-09-26 11:30:00
1400,CH,USP 452,20,2016-09-26 14:00:00
1401,CH,ECE 171,85,2016-09-26 16:40:00
1407,CH,G 345U,45,2016-09-26 08:45:00
1408,CH,G 435,31,2016-09-26 12:45:00
1414,CH,G 204,9,2016-09-26 14:00:00
1421,CH,G 410,5,2016-09-26 11:30:00
1422,CH,G 510,5,2016-09-26 11:30:00
1427,CIN,BI 456,29,2016-09-26 08:15:00
1428,CIN,BI 556,2,2016-09-26 08:15:00
1429,CIN,CH 223,65,2016-09-26 10:15:00
1430,CIN,PHE 350,47,2016-09-26 14:00:00
1431,CIN,PS 317U,29,2016-09-26 17:30:00
1440,CIN,AD HOC,0,2016-09-26 18:40:00
1442,CIN,PHE 444U,47,2016-09-26 08:15:00
1443,CIN,USP 350U,69,2016-09-26 11:00:00
1444,CIN,PS 412,28,2016-09-26 14:00:00
1445,CIN,PS 512,0,2016-09-26 14:00:00
1446,CIN,ANTH 101,49,2016-09-26 16:40:00
1455,CLSB,CH 221,310,2016-09-26 08:45:00
1456,CLSB,BI 211,313,2016-09-26 10:00:00
1457,CLSB,CH 334,340,2016-09-26 11:15:00
1458,CLSB,BI 301,217,2016-09-26 12:30:00
1459,CLSB,CH 320,100,2016-09-26 13:45:00
1467,CLSB,BI 235,12,2016-09-26 11:00:00
1471,CLSB,BI 214,18,2016-09-26 10:45:00
1472,CLSB,BI 214,19,2016-09-26 14:30:00
1473,CLSB,BI 214,22,2016-09-26 17:30:00
1484,CLSB,BI 214,20,2016-09-26 14:30:00
1485,CLSB,BI 214,18,2016-09-26 17:30:00
1509,CLSB,CH 227,24,2016-09-26 10:45:00
1510,CLSB,CH 227,22,2016-09-26 14:30:00
1517,CLSB,CH 227,22,2016-09-26 10:45:00
1518,CLSB,CH 227,24,2016-09-26 14:30:00
1535,CLSB,CH 227,21,2016-09-26 14:30:00
1566,CLSB,CH 227,24,2016-09-26 10:45:00
1567,CLSB,CH 227,20,2016-09-26 14:30:00
1580,EB,CE 361,52,2016-09-26 08:00:00
1581,EB,ME 313,72,2016-09-26 10:15:00
1582,EB,ECE 321,114,2016-09-26 14:00:00
1583,EB,ECE 331,79,2016-09-26 16:40:00
1584,EB,ECE 425,2,2016-09-26 18:40:00
1585,EB,ECE 525,54,2016-09-26 18:40:00
1600,EB,CH 436,26,2016-09-26 09:00:00
1601,EB,CH 536,7,2016-09-26 09:00:00
1602,EB,ESM 222,50,2016-09-26 10:15:00
1603,EB,ME 437,23,2016-09-26 14:00:00
1604,EB,ME 537,7,2016-09-26 14:00:00
1605,EB,MTH 112,40,2016-09-26 16:40:00
1606,EB,CE 434,47,2016-09-26 18:40:00
1617,EB,CE 361L,15,2016-09-26 10:00:00
1618,EB,CE 361L,6,2016-09-26 14:00:00
1626,EB,CE 443,20,2016-09-26 12:00:00
1627,EB,CE 543,4,2016-09-26 12:00:00
1628,EB,CE 417,17,2016-09-26 14:00:00
1629,EB,CE 517,13,2016-09-26 14:00:00
1630,EB,CE 481,22,2016-09-26 16:00:00
1631,EB,CE 581,9,2016-09-26 16:00:00
1640,EB,CE 463,2,2016-09-26 10:00:00
1641,EB,CE 563,4,2016-09-26 10:00:00
1642,EB,ME 350,39,2016-09-26 16:40:00
1654,EB,ME 410,16,2016-09-26 16:40:00
1655,EB,ME 510,5,2016-09-26 16:40:00
1656,EB,ME 120,34,2016-09-26 10:15:00
1657,EB,ME 120,34,2016-09-26 14:00:00
1663,EB,ME 422,19,2016-09-26 14:00:00
1664,EB,ME 522,4,2016-09-26 14:00:00
1666,EB,ME 213L,7,2016-09-26 09:00:00
1667,EB,ME 213L,14,2016-09-26 14:00:00
1673,EB,ME 530,6,2016-09-26 16:40:00
1674,EB,ME 630,1,2016-09-26 16:40:00
1689,EB,CE 341,37,2016-09-26 08:00:00
1690,EB,FIN 218,41,2016-09-26 11:30:00
1691,EB,CS 201,56,2016-09-26 14:00:00
1692,EB,CE 324,47,2016-09-26 16:40:00
1703,EB,CE 345,0,2016-09-26 08:00:00
1711,EB,MTH 253,30,2016-09-26 09:00:00
1712,EB,PS 318U,42,2016-09-26 12:45:00
1713,EB,CE 474,22,2016-09-26 14:00:00
1714,EB,CE 574,11,2016-09-26 14:00:00
1715,EB,ISQA 439,38,2016-09-26 17:30:00
1716,EB,ISQA 539S,2,2016-09-26 17:30:00
1726,EB,AD HOC,0,2016-09-26 13:00:00
1727,EB,LING 111,18,2016-09-26 09:00:00
1728,EB,LING 104,12,2016-09-26 14:00:00
1742,FAB,ANTH 399,14,2016-09-26 09:00:00
1743,FAB,CE 111,47,2016-09-26 10:15:00
1744,FAB,PHE 365,20,2016-09-26 11:30:00
1745,FAB,PHL 301U,40,2016-09-26 12:45:00
1746,FAB,COUN 504,10,2016-09-26 14:30:00
1747,FAB,ECE 420,24,2016-09-26 16:40:00
1748,FAB,ECE 520,13,2016-09-26 16:40:00
1764,FAB,ECE 478,13,2016-09-26 12:00:00
1765,FAB,ECE 578,16,2016-09-26 12:00:00
1766,FAB,EE 510,6,2016-09-26 16:40:00
1767,FAB,CS 162,30,2016-09-26 18:40:00
1779,FAB,CHN 101,16,2016-09-26 10:00:00
1780,FAB,BST 467U,45,2016-09-26 14:00:00
1781,FAB,ED 509,20,2016-09-26 16:30:00
1793,FAB,MTH 095,41,2016-09-26 08:15:00
